chapter,commentator,commentator_en,seq,lemma_zh,lemma_our_english,lemma_status,comment_chinese,comment_english
1,河上公,Heshang Gong (Han),1,道可道,The Tao that can be spoken is not the ever-present Tao.,aligned to our base text,謂經術政教之道也,
1,河上公,Heshang Gong (Han),2,非常道,The Tao that can be spoken is not the ever-present Tao.,aligned to our base text,非自然長生之道也常道當以無為養神無事安民含光藏暉滅迹匿端不可稱道,
1,河上公,Heshang Gong (Han),3,名可名,The name that can be named is not the ever-present name.,aligned to our base text,謂富貴尊榮髙世之名也,
1,河上公,Heshang Gong (Han),4,非常名,The name that can be named is not the ever-present name.,aligned to our base text,非自然常在之名也常名愛如孾兒之未言雞子之未分明珠在蚌中美玉處石間内雖昭昭外如愚頑,
1,河上公,Heshang Gong (Han),5,無名天地之始,The nameless is the beginning of sky and earth.,aligned to our base text,無名者謂道道無形故不可名也始者道本也吐氣布化出於虚无為天地本始也,
1,河上公,Heshang Gong (Han),6,有名萬物之母,The named is the mother of the countless things.,aligned to our base text,有名謂天地天地有形位隂陽有柔剛是其有名也萬物母者天地含氣生萬物長大成熟如母之養子,
1,河上公,Heshang Gong (Han),7,故常無欲以觀其妙,"Ever desireless, observe its subtlety;",aligned to our base text,妙要也人常能無欲則可以觀道之要要謂一也一岀布名道讃叙明是非,
1,河上公,Heshang Gong (Han),8,常有欲以觀其徼,"Ever desiring, observe its boundaries.",aligned to our base text,徼歸也常有欲之人可以觀丗俗之所歸趣也徼古吊反,
1,河上公,Heshang Gong (Han),9,此兩者同出而異名,"These two have the same origin, but differ in name.",aligned to our base text,兩者謂有欲無欲也同出者同出人心也而異名者所名各異也名無欲者長存名有欲者亡身也,
1,河上公,Heshang Gong (Han),10,同謂之玄,"Together, they are called profound darkness.",aligned to our base text,玄天也言有欲之人與無欲之人同受氣於天,
1,河上公,Heshang Gong (Han),11,玄之又玄,"Dark, and dark again, the gate of all subtleties.",aligned to our base text,天中復有天也稟氣有厚薄得中和滋液則生賢聖得錯亂汚辱則生貪淫也,
1,河上公,Heshang Gong (Han),12,衆妙之門,"Dark, and dark again, the gate of all subtleties.",aligned to our base text,能知天中復有天禀氣有厚薄除情去欲守中和是謂知道要之門户也,
1,王弼,Wang Bi (d. 249 CE),1,道可道非常道名可名非常名,The Tao that can be spoken is not the ever-present Tao. The name that can be named is not the ever-present name.,aligned to our base text,可道之道可名之名指事造形非其常也故不可道不可名也,
1,王弼,Wang Bi (d. 249 CE),2,無名天地之始有名萬物之母,The nameless is the beginning of sky and earth. The named is the mother of the countless things.,aligned to our base text,凡有皆始於無故未形無名之時則為萬物之始及其有形有名之時則長之育之亭之毒之為其母也言道以無形無名始成萬物以始以成而不知其所以𤣥之又𤣥也,
1,王弼,Wang Bi (d. 249 CE),3,故常無欲以觀其妙〔案永樂大典此句上無故字〕,"Ever desireless, observe its subtlety;",aligned to our base text,妙者㣲之極也萬物始於㣲而後成始於無而後生故常無欲空虚可以觀其始物之妙,
1,王弼,Wang Bi (d. 249 CE),4,常有欲以觀其徼,"Ever desiring, observe its boundaries.",aligned to our base text,徼歸終也凡有之為利必以無為用欲之所本適道而後濟故常有欲可以觀其終物之徼也,
