chapter,line,block,chinese,pinyin,literal_gloss,our_english,alignment_method
1,1,1,道可道，非常道；,"Dào kě dào, fēi cháng dào;",The Tao that can be spoken is not the eternal Tao;,The Tao that can be spoken is not the ever-present Tao.,exact-count
1,2,1,名可名，非常名。,"míng kě míng, fēi cháng míng.",the name that can be named is not the eternal name.,The name that can be named is not the ever-present name.,exact-count
1,3,1,無名，天地之始；,"Wú míng, tiān dì zhī shǐ;",The nameless is the beginning of heaven and earth;,The nameless is the beginning of sky and earth.,exact-count
1,4,1,有名，萬物之母。,"yǒu míng, wàn wù zhī mǔ.",the named is the mother of all things.,The named is the mother of the countless things.,exact-count
1,5,2,故常無欲，以觀其妙；,"Gù cháng wú yù, yǐ guān qí miào;","Therefore, stay constantly without desire to observe its mysteries;","Ever desireless, observe its subtlety;",exact-count
1,6,2,常有欲，以觀其徼。,"cháng yǒu yù, yǐ guān qí jiào.",stay constantly with desire to observe its manifestations.,"Ever desiring, observe its boundaries.",exact-count
1,7,2,此兩者，同出而異名，,"Cǐ liǎng zhě, tóng chū ér yì míng,",These two emerge together but differ in name;,"These two have the same origin, but differ in name.",exact-count
1,8,2,同謂之玄。,tóng wèi zhī xuán.,both are called profound.,"Together, they are called profound darkness.",exact-count
1,9,2,玄之又玄，眾妙之門。,"Xuán zhī yòu xuán, zhòng miào zhī mén.","Profound and again profound, the gate to all mysteries.","Dark, and dark again, the gate of all subtleties.",exact-count
2,1,1,天下皆知美之為美，斯惡已。,"Tiān xià jiē zhī měi zhī wéi měi, sī è yǐ.","When the world knows beauty as beauty, ugliness arises.","When the world knows beauty as beauty, ugliness arises. / When the world knows good as good, the bad arises.",proportional
2,2,1,皆知善之為善，斯不善已。,"Jiē zhī shàn zhī wéi shàn, sī bù shàn yǐ.","When all know good as good, evil arises.","Therefore presence and absence give birth to each other,",proportional
2,3,1,故有無相生，難易相成，,"Gù yǒu wú xiāng shēng, nán yì xiāng chéng,",Existence and non-existence produce each other; difficulty and ease complete each other;,"Difficult and easy complete each other,",proportional
2,4,1,長短相形，高下相盈，,"cháng duǎn xiāng xíng, gāo xià xiāng yíng,",long and short contrast each other; high and low incline toward each other;,"Long and short measure each other,",proportional
2,5,1,音聲相和，前後相隨。,"yīn shēng xiāng hé, qián hòu xiāng suí.",sound and silence harmonize each other; front and back follow each other.,"High and low depend on each other, / Sound and tone harmonize each other,",proportional
2,6,2,是以聖人處無為之事，,"Shì yǐ shèng rén chǔ wú wéi zhī shì,",Therefore the Sage acts through non-action,Front and back follow each other.,proportional
2,7,2,行不言之教。,xíng bù yán zhī jiào.,and teaches through non-speech.,Therefore the sage dwells in the work of non-doing,proportional
2,8,2,萬物作而弗始，,"Wàn wù zuò ér fú shǐ,",The ten thousand things arise and the Sage does not initiate;,and carries out the teaching without words.,proportional
2,9,2,生而弗有，,"shēng ér fú yǒu,",they are born and the Sage does not possess;,"The countless things arise, and the sage does not begin them. / They are born, and the sage does not possess them.",proportional
2,10,2,為而弗恃，,"wéi ér fú shì,",they act and the Sage does not rely;,"The sage acts, yet relies on nothing.",proportional
2,11,2,功成而弗居。,gōng chéng ér fú jū.,work is accomplished and the Sage takes no credit.,"The work is done, and the sage does not stay in it.",proportional
2,12,2,夫唯弗居，是以不去。,"Fū wéi fú jū, shì yǐ bù qù.","Because the Sage takes no credit, it does not depart.","Because the sage does not stay, it does not leave.",proportional
3,1,1,不尚賢，使民不爭；,"Bù shàng xián, shǐ mín bù zhēng;","Do not exalt the talented, so that people do not contend;","By not exalting the exceptional, the people have no cause to contend.",exact-count
3,2,1,不貴難得之貨，使民不為盜；,"bù guì nán dé zhī huò, shǐ mín bù wéi dào;","do not prize rare goods, so that people do not steal;","By not prizing rare goods, the people do not become thieves.",exact-count
3,3,1,不見可欲，使民心不亂。,"bù jiàn kě yù, shǐ mín xīn bù luàn.","do not show what is desirable, so that people's hearts are not confused.","By not displaying the desirable, the people's hearts are not disturbed.",exact-count
3,4,2,是以聖人之治，,"Shì yǐ shèng rén zhī zhì,","Therefore, the Sage's governance",This is how the sage governs:,exact-count
3,5,2,虛其心，實其腹，,"xū qí xīn, shí qí fù,","empties the heart, fills the stomach,","emptying their hearts and filling their bellies,",exact-count
3,6,2,弱其志，強其骨。,"ruò qí zhì, qiáng qí gǔ.","weakens the ambition, and strengthens the bones.","weakening their ambition and strengthening their bones,",exact-count
3,7,2,常使民無知無欲。,Cháng shǐ mín wú zhī wú yù.,Constantly keep the people without knowledge and desire.,"so the people are ever unknowing, ever desireless,",exact-count
3,8,2,使夫智者不敢為也。,Shǐ fū zhì zhě bù gǎn wéi yě.,Let the clever not dare to act.,and the knowers never push to act.,exact-count
3,9,2,為無為，則無不治。,"Wéi wú wéi, zé wú bù zhì.","Practice non-action, and nothing will not be governed.","Do the not-doing, and nothing is left ungoverned.",exact-count
4,1,0,道沖，而用之或不盈。,"Dào chōng, ér yòng zhī huò bù yíng.","The Tao is empty/hollow \[chong\], and using \[yong\] it, it is never \[huo bu\] full \[ying\].","The Tao is empty, and using it, it never fills.",exact-count
4,2,0,淵兮，似萬物之宗。,"Yuān xī, sì wàn wù zhī zōng.","Abyss-like, it seems to be the ancestor of all things.","Fathomless, it seems to be the ancestor of the countless things.",exact-count
4,3,0,挫其銳，解其紛，,"Cuò qí ruì, jiě qí fēn,","Blunt the sharpness, unravel the complexity,","It blunts the sharpness, untangles the knots,",exact-count
4,4,0,和其光，同其塵。,"hé qí guāng, tóng qí chén.","soften the light, merge with the dust.","dims its own light, merges with the dust.",exact-count
4,5,0,湛兮，似或存。,"Zhàn xī, sì huò cún.","Submerged and calm, it seems to exist.","Submerged, it seems to be here.",exact-count
4,6,0,吾不知誰之子，,"Wú bù zhī shuí zhī zǐ,",I do not know whose child it is;,I do not know whose child it is.,exact-count
4,7,0,象帝之先。,xiàng dì zhī xiān.,it \[xiang\] resembles/seems what precedes \[zhi xian\] Di \[di\] — a god.,It seems older than any god.,exact-count
5,1,1,天地不仁，以萬物為芻狗；,"Tiān dì bù rén, yǐ wàn wù wéi chú gǒu;",Heaven and Earth are not humane; they regard the ten thousand things as straw dogs.,Sky and earth are not concerned with humaneness: they treat the countless things as straw dogs. / The sage is not concerned with humaneness: they treat the people as straw dogs.,proportional
5,2,1,聖人不仁，以百姓為芻狗。,"shèng rén bù rén, yǐ bǎi xìng wéi chú gǒu.",The Sage is not humane; they regard the people as straw dogs.,Isn't the space between sky and earth like a bellows?,proportional
5,3,2,天地之間，其猶橐籥乎？,"Tiān dì zhī jiān, qí yóu tuó yuè hū?","Between Heaven and Earth, is it not like a bellows?","Empty but never depleted, the more it moves, the more it yields.",proportional
5,4,2,虛而不屈，動而愈出。,"Xū ér bù qū, dòng ér yù chū.","Empty yet inexhaustible, the more it moves, the more it brings forth.",Speaking of this is a dead end.,proportional
5,5,2,多言數窮，不如守中。,"Duō yán shù qióng, bù rú shǒu zhōng.","Much speech exhausts itself, better to hold to the center.","Instead, hold the center in silence.",proportional
6,1,0,谷神不死，,"Gǔ shén bù sǐ,","The valley \[gu\] spirit \[shen\] does not \[bu\] die \[si\],",The spirit of the valley is deathless.,proportional
6,2,0,是謂玄牝。,shì wèi xuán pìn.,this \[shi\] is called \[wei\] the dark/mysterious \[xuan\] female \[pin\].,This is the dark female.,proportional
6,3,0,玄牝之門，,"Xuán pìn zhī mén,","The gate/door \[men\] of the dark/mysterious female,",This is the dark female.,proportional-fill
6,4,0,是謂天地根。,shì wèi tiān dì gēn.,this is called the root/base \[gen\] of heaven \[tian\] and earth \[di\].,This dark gateway birthed the sky and the earth.,proportional
6,5,0,綿綿若存，,"Mián mián ruò cún,","Continuous/unbroken \[mian mian\], it seems/appears \[ruo\] to exist \[cun\],","Unceasing yet barely perceptible, it can never be exhausted.",proportional
6,6,0,用之不勤。,yòng zhī bù qín.,"use/deploy \[yong\] it \[zhi\], and it is not exhausted/toilsome \[qin\].","Unceasing yet barely perceptible, it can never be exhausted.",proportional-fill
7,1,1,天長地久。,Tiān cháng dì jiǔ.,"Heaven \[tian\] is long-lasting \[chang\], earth \[di\] is enduring \[jiu\].","The sky is lasting, the earth enduring.",exact-count
7,2,1,天地所以能長且久者，,"Tiān dì suǒ yǐ néng cháng qiě jiǔ zhě,","The reason heaven and earth can \[neng\] be long-lasting and \[qie\] enduring,","Lasting and enduring,",exact-count
7,3,1,以其不自生，,"yǐ qí bù zì shēng,","is because \[yi\] they \[qi\] do not \[bu\] live/generate \[sheng\] for themselves \[zi\],",Sky and earth do not live for themselves.,exact-count
7,4,1,故能長生。,gù néng cháng shēng.,therefore \[gu\] they can live long \[chang sheng\].,They endure without limit.,exact-count
7,5,2,是以聖人後其身而身先，,"Shì yǐ shèng rén hòu qí shēn ér shēn xiān,","Therefore \[shi yi\] the Sage \[sheng ren\] puts behind \[hou\] their \[qi\] body/self \[shen\], yet \[er\] their body comes first/ahead \[xian\],","Placing themselves last, the sage is first;",exact-count
7,6,2,外其身而身存。,wài qí shēn ér shēn cún.,"puts outside \[wai\] their body, yet their body is preserved/exists \[cun\].","unconcerned for themselves, their selves endure.",exact-count
7,7,2,非以其無私邪？,Fēi yǐ qí wú sī xié?,Is it not (fei) because they have no (wu) private self (si — grain held back for oneself)?,Is it not because they have no private self?,exact-count
7,8,2,故能成其私。,gù néng chéng qí sī.,"Therefore they can complete (cheng) their private self (si) — the same character, emptied then fulfilled.",And so their private self is fulfilled.,exact-count
8,1,1,上善若水。,Shàng shàn ruò shuǐ.,The highest/supreme \[shang\] good/excellence \[shan\] is like \[ruo\] water \[shui\].,Supreme goodness is like water.,exact-count
8,2,1,水善利萬物而不爭，,"Shuǐ shàn lì wàn wù ér bù zhēng,","Water is good at benefiting \[li\] the ten thousand things \[wan wu\] and \[er\] does not contend/compete \[zheng\],","Without contending, it nourishes the countless things.",exact-count
8,3,1,處眾人之所惡，,"chǔ zhòng rén zhī suǒ è,","it dwells \[chu\] in places the multitudes \[zhong ren\] dislike/hate \[e\],",It dwells where the crowd will not go.,exact-count
8,4,1,故幾於道。,gù jī yú dào.,therefore \[gu\] it is close/near \[ji\] to the Tao \[dao\].,And is therefore one with the Tao.,exact-count
