character,pinyin,gloss,our_render,shuowen_headword,matched_by,shuowen_section,construction,fanqie_middle_chinese,semantic_parts,phonetic_parts,occurrences,tier,centrality,shuowen_definition_chinese,shuowen_definition_english
不,bù,,,不,exact,不,compound,,一 (yī = the one (lowercase) · one thing (ch 22) · plain numeral where it counts),,242,,0.9406,鳥飛上翔不下來也。从一，一猶天也。象形。凡不之屬皆从不。,
之,zhī,it,,之,exact,之,pictograph,,,,252,,0.9259,出也。象艸過屮，枝莖益大，有所之。一者，地也。凡之之屬皆从之。,
而,ér,,,而,exact,而,pictograph,,,,122,,0.6011,頰毛也。象毛之形。《周禮》曰：“作其鱗之而。”凡而之屬皆从而。,
為,wéi,do / handle / serve as,do / handle / serve as,爲,orthographic,爪,pictograph,,,,113,Tier 1,0.5137,母猴也。其爲禽好爪。爪，母猴象也。下腹爲母猴形。王育曰：“爪，象形也。”,
無,Wú,absence,absence,無,exact,亡,phonetic-compound,,亡 (wáng = perish),無 (Wú = absence),101,Tier 1,0.4595,亡也。从亡無聲。,
天,tiān,sky (as a tier) · nature / the natural (as an agent),sky (as a tier) · nature / the natural (as an agent),天,exact,一,compound,他前切,一 (yī = the one (lowercase) · one thing (ch 22) · plain numeral where it counts) + 大 (dà = ),,92,Tier 0,0.4506,顛也。至高無上。从一大。,
有,yǒu,presence,presence,有,exact,有,phonetic-compound,,月 (yuè = the moon),又 (yòu = not yet glossed),83,Tier 2,0.4391,不宜有也。《春秋傳》曰：“日月有食之。”从月又聲。凡有之屬皆从有。,
者,zhě,those,,者,exact,𪞶,phonetic-compound,,𪞶 (? = not yet glossed),𣥐 (? = not yet glossed),90,,0.4345,別事詞也。从𪞶𣥐聲。𣥐，古文旅字。,
人,rén,,,人,exact,人,pictograph,,,,85,,0.4327,天地之性最貴者也。此籒文。象臂脛之形。凡人之屬皆从人。,
是,Shì,,,是,exact,是,compound,,日 (rì = day),,71,,0.4252,直也。从日、正。凡是之屬皆从是。,
下,xià,,,下,exact,丄,unanalysed,胡雅切,,,82,Tier 0,0.4062,底也。指事。,
故,Gù,Therefore,,故,exact,攴,phonetic-compound,,攴 (pū = a hand striking — action done to something),古 (gǔ = ancient),64,,0.3863,使爲之也。从攴古聲。,
道,Dào,the Tao (left untranslated),the Tao (left untranslated),道,exact,辵,compound,,"辵 (chuò = walking, going along a road) + 𩠐 (? = not yet glossed)",,75,locked,0.3684,所行道也。从辵从𩠐。一達謂之道。,
大,dà,,,大,exact,大,pictograph,,,,58,,0.3032,天大，地大，人亦大。故大象人形。古文𠘲也。凡大之屬皆从大。,
知,zhī,,,知,exact,矢,compound,,口 (kǒu = mouths) + 矢 (shǐ = an arrow),,57,,0.295,詞也。从口从矢。,
物,wù,things / something,things / something,物,exact,牛,phonetic-compound,,牛 (niú = an ox),勿 (wù = do not),37,Tier 2,0.2531,萬物也。牛爲大物；天地之𢿙，起於牽牛，故从牛。勿聲。,
善,shàn,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),譱,old-form,誩,compound,,誩 (? = not yet glossed) + 羊 (yáng = a sheep),,52,locked,0.2446,吉也。从誩从羊。此與義美同意。,
若,ruò,,,若,exact,艸,compound,,"艸 (cǎo = grass, growing plants)",,46,,0.2351,擇菜也。从艸、右。右，手也。一曰杜若，香艸。,
謂,wèi,called,,謂,exact,言,phonetic-compound,,言 (yán = ),胃 (? = not yet glossed),35,,0.2208,報也。从言胃聲。,
聖,shèng,sageliness,,聖,exact,耳,phonetic-compound,,耳 (ěr = ears),呈 (? = not yet glossed),31,,0.2173,通也。从耳呈聲。,
