chapter,base_line,base_reading,witness,witness_name,witness_kind,witness_reading,meaning_bearing,our_call,followed,note,logged
2,長短相形，高下相盈,相形 … 相盈,siku-wangbi,editorial,,相較 … 相傾,yes,base,base,"The Siku Quanshu printing of Wang Bi reads 長短相較，髙下相傾. Our base text reads 形 and 盈, which are the Mawangdui readings — so our ""Wang Bi base text"" already carries non-Wang-Bi readings at this line. Worth knowing about the base text generally, not just here.",notes/manuscript.md
3,使夫智者不敢為也,智者,heshanggong,Heshang Gong,received,知者,yes,base,base,"Heshang Gong's text writes 知 and appends a phonetic note, 知音智 — ""知 is read zhi (as 智)"" — attached only here, not to the 無知 two lines above, so the tradition reads two words in consecutive lines even where one graph is written. The fork is meaning-bearing because the commentators then describe different people: Wang Bi glosses 智者謂知為也, ""those who know how to handle,"" the operators the line restrains; Heshang Gong glosses 思慮深，不輕言, ""deep in deliberation, not speaking lightly,"" which is almost word for word what he says of the approving 知者 at ch 56 (知者貴行不貴言也). We print the base text's 智者 and keep the English open — ""the knowers"" — because a word specific enough to settle the fork picks a side the Chinese does not.",notes/manuscript.md
3,不見可欲，使民心不亂,民,heshanggong,Heshang Gong,received,使心不亂,no,base,base,"Heshang Gong's lemma has no 民 in the third clause, and our own vendored Wang Bi carries the Siku compilers' collation note 〔案原本及各本俱無民字，惟永 樂大典有之…今校〕 — the base edition and every edition they consulted lack 民 here; only the Yongle Dadian has it, and they restored it on the evidence of Wang Bi's commentary. Nothing in the sense turns on it: the subject is the people either way. Logged because our own note at ch 3 says ""all three clauses are 使民X,"" and in the third clause that is an eighteenth-century editorial restoration rather than a reading the witnesses agree on.",notes/manuscript.md
4,湛兮，似或存,或,heshanggong,Heshang Gong,received,若,no,base,base,"Heshang Gong's lemma reads 似若存, and the Siku edition of Wang Bi carries the collation note 〔案或一作若〕, ""for 或, one edition reads 若."" Both are hedges of the same force — 或 perhaps, 若 as if — so nothing turns on it, and the doubled hedge 似 + 或/若 stands either way. Logged because the line was rewritten in 2026-08-31 and the fork should not be rediscovered later as if it were news.",notes/manuscript.md
8,政善治,政,heshanggong,Heshang Gong,received,正,no,base,base,"Heshang Gong's lemma prints 正 (zheng, straight/on the mark) where our base prints 政 (zheng, government), and his gloss follows the graph he prints — 无有不洗，清且平也, ""there is nothing it does not wash; clean and level,"" where 平 (level) answers 正. Barely a fork: Shuowen defines the one by the other, 政，正也。从攴从正，正亦聲 — 政 is 正 with 攴 (a hand holding a stick) added. We keep 政, rendered ""governing,"" which also leaves 治 free for ""order"" instead of colliding with it. Wang Bi is not vendored for this chapter, so there is no third reading to weigh.",notes/manuscript.md
9,揣而銳之，不可長保,銳,siku-wangbi,editorial,,梲,yes,base,base,"梲 is a roof-beam or a mallet-head; 銳 is a sharpened point. ""Hammer it to a point"" against ""hammer it into a beam."" We keep 銳, which the whole line's sense of over-sharpening requires.",notes/manuscript.md
10,天門開闔，能為雌乎,為,heshanggong,Heshang Gong,received,無,yes,base,base,"We print 能為雌乎, ""can you be the hen?"" Heshang Gong's lemma reads 能無雌乎, ""can you be without the hen?"" — the opposite instruction. And our own vendored Wang Bi prints 無 in the lemma with the Siku compilers' collation note attached: 〔案注義無似作為〕, ""by the sense of the commentary, 無 appears to be 為."" Wang Bi's commentary settles it — 雌應而不倡，因而不為。言天門開闔 能為雌乎 — so our 為 follows the Siku editors' own correction of the text they print. Logged because the reading had never been recorded, and because the English turns on it completely.",notes/manuscript.md
10,明白四達，能無為乎,無為,heshanggong,Heshang Gong,received,無知,yes,base,base,"Heshang Gong's text reads 能無知乎 here, the same three characters he prints two questions earlier at 愛民治國, so his chapter asks the 無知 question twice and never asks the 無為 question at all. He glosses this one 無有能知道滿於天下 者, ""there is none who can know the Tao that fills the world."" Wang Bi prints 無為 and glosses it 能無以為乎，則物化矣, quoting ch 37. We keep the base text. Logged because our English had 無為 and 無知 on each other's lines, and the fork sits on exactly those two lines.",notes/manuscript.md
19,絕聖棄智，民利百倍,絕聖棄智,guodian,Guodian bamboo slips,excavated,絕智棄辯,yes,base,base,聖 (shèng — sagehood) is not among the terms the oldest witness severs here; the slips pair 智 (zhì — knowing) with 辯 (biàn — disputation) instead.,notes/manuscript.md
19,絕仁棄義，民復孝慈,絕仁棄義,guodian,Guodian bamboo slips,excavated,絕偽棄慮,yes,base,base,"The received attack on 仁義 (rén yì — humaneness and duty) is absent from Guodian, which severs 偽 (wěi — artifice) and 慮 (lǜ — anxious scheming). Neither 仁 nor 義 appears in the passage at all. The reconstruction of the second graph is contested among editors; the fact that 仁義 is absent is not.",notes/manuscript.md
