chapter,line,character,pinyin,locked_term,expected_rendering,rendering_present,alignment_confidence,alignment_method,our_english_for_this_line
1,1,常,cháng,常,the ever-present / the abiding,yes,1.0,exact-count,The Tao that can be spoken is not the ever-present Tao.
1,1,道,Dào,道,the Tao (left untranslated),NOT FOUND,1.0,exact-count,The Tao that can be spoken is not the ever-present Tao.
1,1,道,dào,道,the Tao (left untranslated),NOT FOUND,1.0,exact-count,The Tao that can be spoken is not the ever-present Tao.
1,1,道,dào,道,the Tao (left untranslated),NOT FOUND,1.0,exact-count,The Tao that can be spoken is not the ever-present Tao.
1,2,常,cháng,常,the ever-present / the abiding,yes,1.0,exact-count,The name that can be named is not the ever-present name.
1,3,天,tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,1.0,exact-count,The nameless is the beginning of sky and earth.
1,3,無,Wú,無 & 有,absence,NOT FOUND,1.0,exact-count,The nameless is the beginning of sky and earth.
1,4,有,yǒu,無 & 有,presence,NOT FOUND,1.0,exact-count,The named is the mother of the countless things.
1,4,母,mǔ,母,mother,yes,1.0,exact-count,The named is the mother of the countless things.
1,4,物,wù,萬物,things / something,yes,1.0,exact-count,The named is the mother of the countless things.
1,4,萬,wàn,萬物,countless,yes,1.0,exact-count,The named is the mother of the countless things.
1,5,妙,miào,玄 & 妙,subtle,yes,1.0,exact-count,"Ever desireless, observe its subtlety;"
1,5,常,cháng,常,the ever-present / the abiding,NOT FOUND,1.0,exact-count,"Ever desireless, observe its subtlety;"
1,5,無,wú,無 & 有,absence,NOT FOUND,1.0,exact-count,"Ever desireless, observe its subtlety;"
1,6,常,cháng,常,the ever-present / the abiding,NOT FOUND,1.0,exact-count,"Ever desiring, observe its boundaries."
1,6,有,yǒu,無 & 有,presence,NOT FOUND,1.0,exact-count,"Ever desiring, observe its boundaries."
1,8,玄,xuán,玄 & 妙,dark or profound,NOT FOUND,1.0,exact-count,"Together, they are called profound darkness."
1,9,妙,miào,玄 & 妙,subtle,yes,1.0,exact-count,"Dark, and dark again, the gate of all subtleties."
1,9,玄,Xuán,玄 & 妙,dark or profound,NOT FOUND,1.0,exact-count,"Dark, and dark again, the gate of all subtleties."
1,9,玄,xuán,玄 & 妙,dark or profound,NOT FOUND,1.0,exact-count,"Dark, and dark again, the gate of all subtleties."
1,9,眾,zhòng,眾,the crowd / the many,NOT FOUND,1.0,exact-count,"Dark, and dark again, the gate of all subtleties."
2,1,天,Tiān,天,sky (as a tier) · nature / the natural (as an agent),NOT FOUND,0.3,proportional,"When the world knows beauty as beauty, ugliness arises. When the world knows good as good, the bad arises."
2,1,為,wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,"When the world knows beauty as beauty, ugliness arises. When the world knows good as good, the bad arises."
2,2,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),NOT FOUND,0.3,proportional,"Therefore presence and absence give birth to each other,"
2,2,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),NOT FOUND,0.3,proportional,"Therefore presence and absence give birth to each other,"
2,2,善,shàn,善,masterful / masterful at · the masterful & the unmasterful (of people) · good (only where the text names the category),NOT FOUND,0.3,proportional,"Therefore presence and absence give birth to each other,"
2,2,為,wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,"Therefore presence and absence give birth to each other,"
2,3,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"Difficult and easy complete each other,"
2,3,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,"Difficult and easy complete each other,"
2,3,生,shēng,生,give birth to / bear / bring forth,NOT FOUND,0.3,proportional,"Difficult and easy complete each other,"
2,6,事,shì,事,"affairs / undertakings (noun) · to serve, to attend to (verb)",NOT FOUND,0.3,proportional,Front and back follow each other.
2,6,為,wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,Front and back follow each other.
2,6,無,wú,無 & 有,absence,NOT FOUND,0.3,proportional,Front and back follow each other.
2,8,物,wù,萬物,things / something,NOT FOUND,0.3,proportional,and carries out the teaching without words.
2,8,萬,Wàn,萬物,countless,NOT FOUND,0.3,proportional,and carries out the teaching without words.
2,9,有,yǒu,無 & 有,presence,NOT FOUND,0.3,proportional,"The countless things arise, and the sage does not begin them. They are born, and the sage does not possess them."
2,9,生,shēng,生,give birth to / bear / bring forth,NOT FOUND,0.3,proportional,"The countless things arise, and the sage does not begin them. They are born, and the sage does not possess them."
2,10,恃,shì,恃,rely on — the heart putting its weight on something,NOT FOUND,0.3,proportional,"The sage acts, yet relies on nothing."
2,10,為,wéi,為,do / handle / serve as,NOT FOUND,0.3,proportional,"The sage acts, yet relies on nothing."
3,1,爭,zhēng,爭,contend / contention,yes,1.0,exact-count,"By not exalting the exceptional, the people have no cause to contend."
3,2,為,wéi,為,do / handle / serve as,yes,1.0,exact-count,"By not prizing rare goods, the people do not become thieves."
3,2,貨,huò,貨,goods,yes,1.0,exact-count,"By not prizing rare goods, the people do not become thieves."
3,3,心,xīn,心,heart,yes,1.0,exact-count,"By not displaying the desirable, the people's hearts are not disturbed."
3,5,心,xīn,心,heart,yes,1.0,exact-count,"emptying their hearts and filling their bellies,"
