chapter,line,stanza,english
1,1,1,The Tao that can be spoken is not the ever-present Tao.
1,2,1,The name that can be named is not the ever-present name.
1,3,1,The nameless is the beginning of sky and earth.
1,4,1,The named is the mother of the countless things.
1,5,2,"Ever desireless, observe its subtlety;"
1,6,2,"Ever desiring, observe its boundaries."
1,7,3,"These two have the same origin, but differ in name."
1,8,3,"Together, they are called profound darkness."
1,9,4,"Dark, and dark again, the gate of all subtleties."
2,1,1,"When the world knows beauty as beauty, ugliness arises."
2,2,1,"When the world knows good as good, the bad arises."
2,3,2,"Therefore presence and absence give birth to each other,"
2,4,2,"Difficult and easy complete each other,"
2,5,2,"Long and short measure each other,"
2,6,2,"High and low depend on each other,"
2,7,2,"Sound and tone harmonize each other,"
2,8,2,Front and back follow each other.
2,9,3,Therefore the sage dwells in the work of non-doing
2,10,3,and carries out the teaching without words.
2,11,4,"The countless things arise, and the sage does not begin them."
2,12,4,"They are born, and the sage does not possess them."
2,13,4,"The sage acts, yet relies on nothing."
2,14,4,"The work is done, and the sage does not stay in it."
2,15,5,"Because the sage does not stay, it does not leave."
3,1,1,"By not exalting the exceptional, the people have no cause to contend."
3,2,1,"By not valuing the precious, no one becomes a thief."
3,3,1,"By not displaying the desirable, the people are not perturbed."
3,4,2,Therefore the sage
3,5,2,Empties hearts and fills bellies
3,6,2,Weakens striving and strengthens the bones of the people.
3,7,3,"Without creating desire or cunning,"
3,8,3,"Without causing the cunning to act,"
3,9,3,"Without effort, the sage leaves nothing out of order."
4,1,1,The Tao is a vessel that never runs empty.
4,2,1,It is the source of the countless things.
4,3,2,"It blunts sharpness,"
4,4,2,"Untangles the tangled,"
4,5,2,"Softens brilliance,"
4,6,2,Is one with every grain of dust.
4,7,3,"Unfathomably deep, it seems to exist,"
4,8,3,"Although its source is dark, older than any ancestor."
5,1,1,Sky and earth are not concerned with humaneness: they treat the countless things as straw dogs.
5,2,1,The sage is not concerned with humaneness: they treat the people as straw dogs.
5,3,2,Isn't the space between sky and earth like a bellows?
5,4,2,"Empty but never depleted, the more it moves, the more it yields."
5,5,3,Speaking of this is a dead end.
5,6,3,"Instead, hold the center in silence."
6,1,1,The spirit of the valley is deathless.
6,2,1,This is the dark female.
6,3,1,This dark gateway birthed the sky and the earth.
6,4,1,"Unceasing yet barely perceptible, it can never be exhausted."
7,1,1,"The sky is lasting, the earth enduring."
7,2,1,"Lasting and enduring,"
7,3,1,Sky and earth do not live for themselves.
7,4,1,They endure without limit.
7,5,2,"Placing themselves last, the sage is first;"
7,6,2,"unconcerned for themselves, their selves endure."
7,7,3,Is it not because they have no private self?
7,8,3,And so their private self is fulfilled.
8,1,1,Supreme goodness is like water.
8,2,1,"Without contending, it nourishes the countless things."
8,3,1,It dwells where the crowd will not go.
8,4,1,And is therefore one with the Tao.
8,5,2,"In a dwelling, it is a solid foundation."
8,6,2,"In heart, it is limitless depth."
8,7,2,"In the act of giving, it is pure kindness."
8,8,2,"In speech, it is trustworthy."
8,9,2,"In governing, it is good order."
8,10,2,"In daily affairs, it is skillful."
8,11,2,"In action, it has good timing."
8,12,3,"Because it doesn’t contend,"
8,13,3,It is always blameless.
9,1,1,"Filling a vessel, stop before spilling."
9,2,1,An over-sharpened blade’s edge cannot last.
9,3,2,The hall of gold and jade can’t be guarded.
9,4,2,Those who seek wealth and status with arrogance bring ruin upon themselves.
9,5,3,"When the work is done, cease striving. This is the way of nature."
10,1,1,"Being embodied and embracing the one, can you remain whole?"
10,2,1,"Flowing with life energy and achieving softness, can you be like a newborn?"
10,3,2,"Cleaning the dark mirror, can you see what truly is?"
10,4,2,"Governing people with love, can you lead without doing?"
10,5,3,"As the gate of the sky opens and closes, can you embody the flow of the feminine?"
10,6,3,"With an understanding that spans the four directions, can you be unknowing?"
10,7,4,"Birthing and nourishing the countless things,"
10,8,4,"Giving birth without possessing,"
10,9,4,"Acting yet relying on nothing,"
10,10,4,Leading without mastering –
10,11,4,This is called profound integrity.
11,1,1,Thirty spokes meet in a single hub.
11,2,1,"Through the emptiness at its center, the cart can roll."
11,3,2,"Through the emptiness it contains,"
11,4,2,A clay vessel becomes useful.
11,5,3,"Through the empty spaces cut into walls,"
11,6,3,A room becomes useful.
11,7,4,"Therefore, filled space creates potential."
11,8,4,Empty space makes things useful.
12,1,1,The full spectrum of colors makes the eyes blind.
12,2,1,The full spectrum of tones makes the ears deaf.
12,3,1,The full spectrum of flavors makes the palate dull.
12,4,2,Galloping in pursuit of prey makes the heart wild.
12,5,2,Rare treasures make actions corrupt.
12,6,3,"Therefore the sage acts for the belly, not for the eye."
12,7,3,"Rejects the hungry gaze, chooses gut wisdom."
13,1,1,Both favor and disgrace cause alarm.
13,2,1,Value misfortune as your own body.
13,3,2,What does it mean that favor and disgrace both cause alarm?
13,4,2,You must stoop to receive favor.
13,5,2,Receiving it causes alarm.
13,6,2,Losing it also causes alarm.
13,7,2,This is why favor and disgrace both cause alarm.
13,8,3,What does it mean to value misfortune as your own body?
13,9,3,I only experience misfortune because I have a body.
13,10,3,"When the separate self dissolves, what troubles could I have?"
13,11,3,"Therefore, one who values the world as their body can be entrusted with the world."
13,12,3,One who loves the whole world as their own body can truly care for it.
14,1,1,"Look, but you cannot see it – its name is the invisible."
14,2,1,"Listen, but you cannot hear it – its name is the inaudible."
14,3,1,"Reach, but you cannot grasp it – its name is the intangible."
14,4,1,These three defy comprehension.
14,5,1,"Therefore, they blend into one."
14,6,2,"It doesn’t have a bright top,"
14,7,2,Or a dark bottom.
14,8,2,"Continuously flowing, it cannot be named"
14,9,2,And returns to no-thing.
14,10,2,"This is the shape of no-shape, the image of no-thing."
14,11,2,This is called the elusive.
14,12,3,"Meet it, and you cannot see its face,"
14,13,3,"Follow it, and you cannot see its back."
