chapter,heshanggong_title,heshanggong_title_pinyin,heshanggong_title_english,status,han_chars,english_words,words_per_character,guodian_attested,guodian_extent,guodian_bundles,source_lines,verse_lines,variants
1,體道,tǐ dào,Embodying the Tao,drafted,59,77,1.305,no,,,9,9,0
2,養身,yǎng shēn,Nourishing the self,drafted,87,126,1.448,yes,complete,A,12,15,1
3,安民,ān mín,Settling the people,drafted,67,78,1.164,no,,,9,9,2
4,無源,wú yuán,The sourceless,drafted,42,56,1.333,no,,,7,7,1
5,虛用,xū yòng,The use of emptiness,drafted,45,65,1.444,yes,middle,A,5,6,0
6,成象,chéng xiàng,Taking form,drafted,25,30,1.2,no,,,6,4,0
7,韜光,tāo guāng,Sheathing the light,drafted,49,51,1.041,no,,,8,8,0
8,易性,yì xìng,An easy nature,drafted,50,81,1.62,no,,,13,13,1
9,運夷,yùn yí,Keeping level,drafted,39,49,1.256,yes,complete,A,10,5,1
10,能為,néng wéi,What can be done,drafted,70,96,1.371,no,,,17,11,2
11,無用,wú yòng,The use of absence,drafted,49,48,0.98,no,,,11,8,0
12,檢欲,jiǎn yù,Reining in desire,drafted,49,65,1.327,no,,,9,7,0
13,猒恥,yàn chǐ,Shrinking from disgrace,drafted,81,107,1.321,yes,complete,B,16,12,0
14,贊玄,zàn xuán,In praise of the dark,drafted,95,116,1.221,no,,,21,16,0
15,顯德,xiǎn dé,Integrity made visible,drafted,98,114,1.163,yes,complete,A,17,16,0
16,歸根,guī gēn,Returning to the root,drafted,67,118,1.761,yes,opening,A,19,18,0
17,淳風,chún fēng,Unspoiled ways,drafted,44,52,1.182,yes,complete,C,8,8,0
18,俗薄,sú bó,When custom wears thin,drafted,26,36,1.385,yes,complete,C,4,4,0
19,還淳,huán chún,Back to the unspoiled,drafted,45,63,1.4,yes,complete,A,7,7,3
20,異俗,yì sú,Apart from custom,drafted,132,157,1.189,yes,opening,B,25,24,0
21,虛心,xū xīn,Emptying the heart,drafted,71,92,1.296,no,,,12,9,5
22,益謙,yì qiān,The gain in humility,drafted,78,122,1.564,no,,,17,11,0
23,虛無,xū wú,Emptiness and absence,drafted,86,113,1.314,no,,,18,13,3
24,苦恩,kǔ ēn,Favour turned bitter,drafted,47,76,1.617,no,,,10,9,0
